#abgabe.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Closest Pair: set1 - Random,562,132299900,9400
Closest Pair: set1 - Random,563,125406200,9500
Closest Pair: set1 - Random,564,140944100,9600
Closest Pair: set1 - Random,565,156975600,9700
Closest Pair: set1 - Random,566,176756400,9800
Closest Pair: set1 - Random,567,154753800,9900
Closest Pair: set1 - Random,568,195355900,10000
Closest Pair: set1 - First,569,59200,100
Closest Pair: set1 - First,570,96300,200
Closest Pair: set1 - First,571,182000,300
Closest Pair: set1 - First,572,296700,400
Closest Pair: set1 - First,573,410500,500
Closest Pair: set1 - First,574,589600,600
Closest Pair: set1 - First,575,816100,700
Closest Pair: set1 - First,576,913100,800
Closest Pair: set1 - First,577,1153200,900
Closest Pair: set1 - First,578,1431600,1000
Closest Pair: set1 - First,579,1779700,1100
Closest Pair: set1 - First,580,1992600,1200
Closest Pair: set1 - First,581,2381700,1300
Closest Pair: set1 - First,582,2932700,1400
Closest Pair: set1 - First,583,3159100,1500
Closest Pair: set1 - First,584,3548300,1600
Closest Pair: set1 - First,585,3833700,1700
Closest Pair: set1 - First,586,4438700,1800
Closest Pair: set1 - First,587,4865700,1900
Closest Pair: set1 - First,588,5708000,2000
Closest Pair: set1 - First,589,5791500,2100
Closest Pair: set1 - First,590,6805100,2200
Closest Pair: set1 - First,591,6988800,2300
Closest Pair: set1 - First,592,7339300,2400
Closest Pair: set1 - First,593,8379500,2500
Closest Pair: set1 - First,594,9604700,2600
Closest Pair: set1 - First,595,10026000,2700
Closest Pair: set1 - First,596,11020000,2800
Closest Pair: set1 - First,597,11890500,2900
Closest Pair: set1 - First,598,13232300,3000
Closest Pair: set1 - First,599,14100900,3100
Closest Pair: set1 - First,600,14052200,3200
Closest Pair: set1 - First,601,14593000,3300
Closest Pair: set1 - First,602,16805600,3400
Closest Pair: set1 - First,603,16695500,3500
Closest Pair: set1 - First,604,21299000,3600
Closest Pair: set1 - First,605,19275100,3700
Closest Pair: set1 - First,606,18263100,3800
Closest Pair: set1 - First,607,20456700,3900
Closest Pair: set1 - First,608,20617300,4000
Closest Pair: set1 - First,609,24061200,4100
Closest Pair: set1 - First,610,25067600,4200
Closest Pair: set1 - First,611,27431800,4300
Closest Pair: set1 - First,612,26813100,4400
Closest Pair: set1 - First,613,28401900,4500
Closest Pair: set1 - First,614,29220900,4600
Closest Pair: set1 - First,615,30356900,4700
Closest Pair: set1 - First,616,30053200,4800
Closest Pair: set1 - First,617,34931300,4900
Closest Pair: set1 - First,618,41944700,5000
Closest Pair: set1 - First,619,37803800,5100
Closest Pair: set1 - First,620,39349700,5200
Closest Pair: set1 - First,621,43851600,5300
Closest Pair: set1 - First,622,44449000,5400
Closest Pair: set1 - First,623,42599400,5500
Closest Pair: set1 - First,624,45105800,5600
Closest Pair: set1 - First,625,47766300,5700
Closest Pair: set1 - First,626,49231800,5800
Closest Pair: set1 - First,627,52690500,5900
Closest Pair: set1 - First,628,51613800,6000
Closest Pair: set1 - First,629,58178200,6100
Closest Pair: set1 - First,630,58979500,6200
Closest Pair: set1 - First,631,58698600,6300
Closest Pair: set1 - First,632,55140600,6400
Closest Pair: set1 - First,633,71384500,6500
Closest Pair: set1 - First,634,63872100,6600
Closest Pair: set1 - First,635,69086100,6700
Closest Pair: set1 - First,636,68494400,6800
Closest Pair: set1 - First,637,69121100,6900
Closest Pair: set1 - First,638,75842300,7000
Closest Pair: set1 - First,639,81796700,7100
Closest Pair: set1 - First,640,74758900,7200
Closest Pair: set1 - First,641,83822000,7300
Closest Pair: set1 - First,642,95851100,7400
Closest Pair: set1 - First,643,83097300,7500
Closest Pair: set1 - First,644,84104600,7600
Closest Pair: set1 - First,645,94633600,7700
Closest Pair: set1 - First,646,97403800,7800
Closest Pair: set1 - First,647,98012300,7900
Closest Pair: set1 - First,648,103514300,8000
Closest Pair: set1 - First,649,99157800,8100
Closest Pair: set1 - First,650,108124300,8200
Closest Pair: set1 - First,651,103008100,8300
Closest Pair: set1 - First,652,111643400,8400
Closest Pair: set1 - First,653,115558700,8500
Closest Pair: set1 - First,654,110932400,8600
Closest Pair: set1 - First,655,124609100,8700
Closest Pair: set1 - First,656,125764400,8800
Closest Pair: set1 - First,657,134610300,8900
Closest Pair: set1 - First,658,124096700,9000
Closest Pair: set1 - First,659,126204900,9100
Closest Pair: set1 - First,660,138047900,9200
Closest Pair: set1 - First,661,136635600,9300
Closest Pair: set1 - First,662,138467000,9400
Closest Pair: set1 - First,663,142262000,9500
Closest Pair: set1 - First,664,138932400,9600
Closest Pair: set1 - First,665,150495600,9700
Closest Pair: set1 - First,666,144719400,9800
Closest Pair: set1 - First,667,154810500,9900
Closest Pair: set1 - First,668,174185500,10000
Closest Pair: set1 - Median Of Three,669,57700,100
Closest Pair: set1 - Median Of Three,670,93600,200
Closest Pair: set1 - Median Of Three,671,175300,300
Closest Pair: set1 - Median Of Three,672,266900,400
Closest Pair: set1 - Median Of Three,673,409000,500
Closest Pair: set1 - Median Of Three,674,573400,600
Closest Pair: set1 - Median Of Three,675,743100,700
Closest Pair: set1 - Median Of Three,676,1020400,800
Closest Pair: set1 - Median Of Three,677,1146900,900
Closest Pair: set1 - Median Of Three,678,1388200,1000
Closest Pair: set1 - Median Of Three,679,1802700,1100
Closest Pair: set1 - Median Of Three,680,1967200,1200
Closest Pair: set1 - Median Of Three,681,2529600,1300
Closest Pair: set1 - Median Of Three,682,2802200,1400
Closest Pair: set1 - Median Of Three,683,3075200,1500
Closest Pair: set1 - Median Of Three,684,3412200,1600
Closest Pair: set1 - Median Of Three,685,3797100,1700
Closest Pair: set1 - Median Of Three,686,4303200,1800
Closest Pair: set1 - Median Of Three,687,4749000,1900
Closest Pair: set1 - Median Of Three,688,5430200,2000
Closest Pair: set1 - Median Of Three,689,6027300,2100
Closest Pair: set1 - Median Of Three,690,6410600,2200
Closest Pair: set1 - Median Of Three,691,6790400,2300
Closest Pair: set1 - Median Of Three,692,8131900,2400
Closest Pair: set1 - Median Of Three,693,8880800,2500
Closest Pair: set1 - Median Of Three,694,8773900,2600
Closest Pair: set1 - Median Of Three,695,9602400,2700
Closest Pair: set1 - Median Of Three,696,10883700,2800
Closest Pair: set1 - Median Of Three,697,11055500,2900
Closest Pair: set1 - Median Of Three,698,11983700,3000
Closest Pair: set1 - Median Of Three,699,13220000,3100
Closest Pair: set1 - Median Of Three,700,14030500,3200
Closest Pair: set1 - Median Of Three,701,14648100,3300
Closest Pair: set1 - Median Of Three,702,15831600,3400
Closest Pair: set1 - Median Of Three,703,16988500,3500
Closest Pair: set1 - Median Of Three,704,17278700,3600
Closest Pair: set1 - Median Of Three,705,18212500,3700
Closest Pair: set1 - Median Of Three,706,20583200,3800
Closest Pair: set1 - Median Of Three,707,21457500,3900
Closest Pair: set1 - Median Of Three,708,21686800,4000
Closest Pair: set1 - Median Of Three,709,23897700,4100
Closest Pair: set1 - Median Of Three,710,24537700,4200
Closest Pair: set1 - Median Of Three,711,26318500,4300
Closest Pair: set1 - Median Of Three,712,27528500,4400
Closest Pair: set1 - Median Of Three,713,28589400,4500
Closest Pair: set1 - Median Of Three,714,32465200,4600
Closest Pair: set1 - Median Of Three,715,30972500,4700
Closest Pair: set1 - Median Of Three,716,33593500,4800
Closest Pair: set1 - Median Of Three,717,34440500,4900
Closest Pair: set1 - Median Of Three,718,34702100,5000
Closest Pair: set1 - Median Of Three,719,36074700,5100
Closest Pair: set1 - Median Of Three,720,39445500,5200
Closest Pair: set1 - Median Of Three,721,40976600,5300
Closest Pair: set1 - Median Of Three,722,41625700,5400
Closest Pair: set1 - Median Of Three,723,40655800,5500
Closest Pair: set1 - Median Of Three,724,45410700,5600
Closest Pair: set1 - Median Of Three,725,46689900,5700
Closest Pair: set1 - Median Of Three,726,50233400,5800
Closest Pair: set1 - Median Of Three,727,50418500,5900
Closest Pair: set1 - Median Of Three,728,53710600,6000
Closest Pair: set1 - Median Of Three,729,55745000,6100
Closest Pair: set1 - Median Of Three,730,58221700,6200
Closest Pair: set1 - Median Of Three,731,55598700,6300
Closest Pair: set1 - Median Of Three,732,58713000,6400
Closest Pair: set1 - Median Of Three,733,61732800,6500
Closest Pair: set1 - Median Of Three,734,65448000,6600
Closest Pair: set1 - Median Of Three,735,65111900,6700
Closest Pair: set1 - Median Of Three,736,70150100,6800
Closest Pair: set1 - Median Of Three,737,74486200,6900
Closest Pair: set1 - Median Of Three,738,68742400,7000
Closest Pair: set1 - Median Of Three,739,75245000,7100
Closest Pair: set1 - Median Of Three,740,72400900,7200
Closest Pair: set1 - Median Of Three,741,80220200,7300
Closest Pair: set1 - Median Of Three,742,78759200,7400
Closest Pair: set1 - Median Of Three,743,92942200,7500
Closest Pair: set1 - Median Of Three,744,86621700,7600
Closest Pair: set1 - Median Of Three,745,85933000,7700
Closest Pair: set1 - Median Of Three,746,101982600,7800
Closest Pair: set1 - Median Of Three,747,95260900,7900
Closest Pair: set1 - Median Of Three,748,96175500,8000
Closest Pair: set1 - Median Of Three,749,97648900,8100
Closest Pair: set1 - Median Of Three,750,105806500,8200
Closest Pair: set1 - Median Of Three,751,109071500,8300
Closest Pair: set1 - Median Of Three,752,112702500,8400
Closest Pair: set1 - Median Of Three,753,116825200,8500
Closest Pair: set1 - Median Of Three,754,111437800,8600
Closest Pair: set1 - Median Of Three,755,116042100,8700
Closest Pair: set1 - Median Of Three,756,116111000,8800
Closest Pair: set1 - Median Of Three,757,132318200,8900
Closest Pair: set1 - Median Of Three,758,113845600,9000
Closest Pair: set1 - Median Of Three,759,147448400,9100
Closest Pair: set1 - Median Of Three,760,130651300,9200
Closest Pair: set1 - Median Of Three,761,139689000,9300
Closest Pair: set1 - Median Of Three,762,142996900,9400
Closest Pair: set1 - Median Of Three,763,135830700,9500
Closest Pair: set1 - Median Of Three,764,128713600,9600
Closest Pair: set1 - Median Of Three,765,149349900,9700
Closest Pair: set1 - Median Of Three,766,152192300,9800
Closest Pair: set1 - Median Of Three,767,158548000,9900
Closest Pair: set1 - Median Of Three,768,180842100,10000
Closest Pair: set1 - Brute Force,769,28400,100
Closest Pair: set1 - Brute Force,770,75700,200
Closest Pair: set1 - Brute Force,771,169800,300
Closest Pair: set1 - Brute Force,772,301500,400
Closest Pair: set1 - Brute Force,773,471500,500
Closest Pair: set1 - Brute Force,774,679500,600
Closest Pair: set1 - Brute Force,775,943500,700
Closest Pair: set1 - Brute Force,776,1214000,800
Closest Pair: set1 - Brute Force,777,1537100,900
Closest Pair: set1 - Brute Force,778,1879700,1000
Closest Pair: set1 - Brute Force,779,2294900,1100
Closest Pair: set1 - Brute Force,780,2729000,1200
Closest Pair: set1 - Brute Force,781,3205000,1300
Closest Pair: set1 - Brute Force,782,3700500,1400
Closest Pair: set1 - Brute Force,783,4242300,1500
Closest Pair: set1 - Brute Force,784,4825300,1600
Closest Pair: set1 - Brute Force,785,5483300,1700
Closest Pair: set1 - Brute Force,786,6114700,1800
Closest Pair: set1 - Brute Force,787,6834900,1900
Closest Pair: set1 - Brute Force,788,7800200,2000
Closest Pair: set1 - Brute Force,789,8534500,2100
Closest Pair: set1 - Brute Force,790,9140000,2200
Closest Pair: set1 - Brute Force,791,9994500,2300
Closest Pair: set1 - Brute Force,792,10922500,2400
Closest Pair: set1 - Brute Force,793,11989700,2500
Closest Pair: set1 - Brute Force,794,12798400,2600
Closest Pair: set1 - Brute Force,795,13920200,2700
Closest Pair: set1 - Brute Force,796,14864000,2800
Closest Pair: set1 - Brute Force,797,15929900,2900
Closest Pair: set1 - Brute Force,798,16967900,3000
Closest Pair: set1 - Brute Force,799,18127900,3100
Closest Pair: set1 - Brute Force,800,19435800,3200
Closest Pair: set1 - Brute Force,801,20608800,3300
Closest Pair: set1 - Brute Force,802,22238700,3400
Closest Pair: set1 - Brute Force,803,23135200,3500
Closest Pair: set1 - Brute Force,804,24501700,3600
Closest Pair: set1 - Brute Force,805,26101600,3700
Closest Pair: set1 - Brute Force,806,27262700,3800
Closest Pair: set1 - Brute Force,807,28771100,3900
